symbol,instrument_key,trading_symbol,series,exchange
VOEPL,NSE_EQ|INE0I0T01010,VOEPL,EQ,NSE
GPTINFRA,NSE_EQ|INE390G01014,GPTINFRA,EQ,NSE
DOLLAR,NSE_EQ|INE325C01035,DOLLAR,EQ,NSE
DOLPHIN,NSE_EQ|INE920A01037,DOLPHIN,EQ,NSE
STEELXIND,NSE_EQ|INE503B01021,STEELXIND,EQ,NSE
GALAPREC,NSE_EQ|INE0RE001014,GALAPREC,EQ,NSE
SHANTIGOLD,NSE_EQ|INE06ZD01017,SHANTIGOLD,EQ,NSE
DSSL,NSE_EQ|INE417B01040,DSSL,EQ,NSE
MMWL,NSE_EQ|INE200D01020,MMWL,BE,NSE
AMRUTANJAN,NSE_EQ|INE098F01031,AMRUTANJAN,EQ,NSE
DIGITIDE,NSE_EQ|INE0U4701011,DIGITIDE,EQ,NSE
WENDT,NSE_EQ|INE274C01019,WENDT,EQ,NSE
RACLGEAR,NSE_EQ|INE704B01017,RACLGEAR,EQ,NSE
BLIL,NSE_EQ|INE525F01025,BLIL,EQ,NSE
ASTEC,NSE_EQ|INE563J01010,ASTEC,EQ,NSE
IFGLEXPOR,NSE_EQ|INE133Y01011,IFGLEXPOR,EQ,NSE
TARSONS,NSE_EQ|INE144Z01023,TARSONS,EQ,NSE
MOTISONS,NSE_EQ|INE0FRK01020,MOTISONS,EQ,NSE
ALLTIME,NSE_EQ|INE0GV601021,ALLTIME,EQ,NSE
WAAREEINDO,NSE_EQ|INE866K01023,WAAREEINDO,EQ,NSE
GTLINFRA,NSE_EQ|INE221H01019,GTLINFRA,EQ,NSE
DLINKINDIA,NSE_EQ|INE250K01012,DLINKINDIA,EQ,NSE
INFOBEAN,NSE_EQ|INE344S01016,INFOBEAN,EQ,NSE
ASALCBR,NSE_EQ|INE073G01016,ASALCBR,EQ,NSE
QUADFUTURE,NSE_EQ|INE0LRY01011,QUADFUTURE,EQ,NSE
IKIO,NSE_EQ|INE0LOJ01019,IKIO,EQ,NSE
PNBGILTS,NSE_EQ|INE859A01011,PNBGILTS,EQ,NSE
SUMMITSEC,NSE_EQ|INE519C01017,SUMMITSEC,EQ,NSE
GARUDA,NSE_EQ|INE0JVO01026,GARUDA,EQ,NSE
IZMO,NSE_EQ|INE848A01014,IZMO,EQ,NSE
FRONTSP,NSE_EQ|INE572D01014,FRONTSP,EQ,NSE
NINSYS,NSE_EQ|INE395U01014,NINSYS,BE,NSE
ACCELYA,NSE_EQ|INE793A01012,ACCELYA,EQ,NSE
IVALUE,NSE_EQ|INE056801025,IVALUE,EQ,NSE
WALCHANNAG,NSE_EQ|INE711A01022,WALCHANNAG,EQ,NSE
UEL,NSE_EQ|INE899L01030,UEL,EQ,NSE
RICOAUTO,NSE_EQ|INE209B01025,RICOAUTO,EQ,NSE
SMCGLOBAL,NSE_EQ|INE103C01036,SMCGLOBAL,EQ,NSE
TBZ,NSE_EQ|INE760L01018,TBZ,EQ,NSE
MCLOUD,NSE_EQ|INE613C01026,MCLOUD,EQ,NSE
YATRA,NSE_EQ|INE0JR601024,YATRA,EQ,NSE
JINDRILL,NSE_EQ|INE742C01031,JINDRILL,EQ,NSE
DISAQ,NSE_EQ|INE131C01011,DISAQ,EQ,NSE
DELTACORP,NSE_EQ|INE124G01033,DELTACORP,EQ,NSE
SIGNPOST,NSE_EQ|INE0KGZ01021,SIGNPOST,EQ,NSE
AURUM,NSE_EQ|INE898S01029,AURUM,EQ,NSE
MOBIKWIK,NSE_EQ|INE0HLU01028,MOBIKWIK,EQ,NSE
SPMLINFRA,NSE_EQ|INE937A01023,SPMLINFRA,EQ,NSE
JGCHEM,NSE_EQ|INE0MB501011,JGCHEM,EQ,NSE
SKMEGGPROD,NSE_EQ|INE411D01023,SKMEGGPROD,EQ,NSE
WINDLAS,NSE_EQ|INE0H5O01029,WINDLAS,EQ,NSE
NAVKARCORP,NSE_EQ|INE278M01019,NAVKARCORP,EQ,NSE
HUHTAMAKI,NSE_EQ|INE275B01026,HUHTAMAKI,EQ,NSE
HITECH,NSE_EQ|INE106T01025,HITECH,EQ,NSE
BLUSPRING,NSE_EQ|INE0U4101014,BLUSPRING,EQ,NSE
OMAXE,NSE_EQ|INE800H01010,OMAXE,EQ,NSE
KRSNAA,NSE_EQ|INE08LI01020,KRSNAA,EQ,NSE
NITTAGELA,NSE_EQ|INE265B01019,NITTAGELA,EQ,NSE
TINNARUBR,NSE_EQ|INE015C01016,TINNARUBR,EQ,NSE
ASIANENE,NSE_EQ|INE276G01015,ASIANENE,EQ,NSE
BFINVEST,NSE_EQ|INE878K01010,BFINVEST,EQ,NSE
TIL,NSE_EQ|INE806C01018,TIL,EQ,NSE
SHK,NSE_EQ|INE500L01026,SHK,EQ,NSE
