symbol,mcap_cr,current_price
FRONTSP,1500.34,1269.8
MOBIKWIK,1500.99,190.61
DOLLAR,1502.98,265.0
ARFIN,1503.15,89.09
DELTACORP,1506.21,56.25
KRISHNADEF,1507.78,1008.7
SDBL,1509.78,72.62
CLSEL,1515.64,304.8
RSL,1517.25,181.56
HITECH,1526.35,75.15
INFOBEAN,1529.1,157.68
MANALIPETC,1543.35,89.73
SHREEPUSHK,1543.96,477.45
HINDWAREAP,1554.32,185.82
MCLOUD,1558.67,26.46
TTKHLTCARE,1558.86,1103.2
MIIL,1560.63,718.4
SUMMITSEC,1572.36,1442.3
MBEL,1574.49,275.45
IPL,1583.5,137.5
UDS,1584.18,236.61
MMWL,1593.77,14.07
JAGSNPHARM,1602.9,243.02
MODISONLTD,1605.14,494.65
5PAISA,1605.48,342.45
DLINKINDIA,1606.06,452.35
BLIL,1608.64,72.47
IKIO,1609.83,208.31
AEROENTER,1616.66,142.86
AURUM,1620.83,224.76
SURYODAY,1632.4,153.57
KPEL,1633.19,240.89
ASIANHOTNR,1636.48,383.85
PNGSREVA,1636.59,516.3
INDOBORAX,1645.58,512.8
SHALBY,1648.66,152.64
WENDT,1661.4,8307.0
INDIAGLYCO,1662.26,248.0
SMCGLOBAL,1663.05,79.42
AVADHSUGAR,1663.73,831.1
GARUDA,1664.33,178.88
MTNL,1664.46,26.42
STUDDS,1680.19,426.95
ACCELYA,1686.07,1129.6
SPANDANA,1686.51,236.52
PVP,1690.02,64.9
IGPL,1690.18,548.85
OAL,1690.42,502.3
GOCOLORS,1696.48,322.55
GOODYEAR,1699.57,736.7
QUADFUTURE,1702.4,425.6
RICOAUTO,1711.41,126.49
VIDHIING,1712.11,342.8
DISAQ,1712.33,11775.0
MOL,1717.13,67.52
BGRENERGY,1720.62,238.44
DANISH,1721.34,874.15
NDRAUTO,1722.53,724.2
ARDEE,1728.56,54.84
MENONBE,1729.11,308.55
JAICORPLTD,1740.13,99.15
PFS,1741.23,27.11
MOTISONS,1748.35,15.37
INDOKEM,1753.33,628.7
CAPACITE,1767.21,208.88
BFINVEST,1767.95,469.45
SURAKSHA,1768.66,339.6
KAPSTON,1769.17,581.35
YATRA,1774.41,113.08
GRMOVER,1778.07,85.81
INSECTICID,1787.04,614.15
KRSNAA,1787.21,550.95
DIFFNKG,1787.48,477.6
TARSONS,1790.39,336.5
INDORAMA,1798.29,68.87
ALGOQUANT,1806.6,64.27
SERVOTECH,1812.41,80.25
GRANDOAK,1815.05,34.98
HATHWAY,1816.13,10.26
BCG,1816.13,9.0
NGLFINE,1817.41,2940.8
EPACK,1819.49,189.08
HGS,1828.25,393.0
AWFIS,1835.6,256.5
BLUECLOUDS,1836.93,19.9
RACLGEAR,1837.53,1558.8
