Stock Name,Position entry date,Position Exit date,No of shares,Entry Price,Exit Price,Realised PnL,Realised PnL Pct,Total Charges,Net PnL,Net PnL Pct
CAPILLARY,2026-07-27,2026-07-28,56,535.4,515.7,-1103.2,-3.6795,80.4,-1183.6,-3.9476
DEEPINDS,2026-07-27,2026-07-28,57,517.9,535.2746,990.35,3.3548,81.62,908.73,3.0783
MONARCH,2026-07-27,2026-07-28,76,391.9,395.5,273.6,0.9186,81.42,192.18,0.6452
SESHAPAPER,2026-07-27,2026-07-28,125,238.777,235.1329,-455.51,-1.5262,80.79,-536.3,-1.7968
VRLLOG,2026-07-27,2026-07-28,114,262.6553,261.8239,-94.77,-0.3165,81.37,-176.14,-0.5883
ASHIKAG,2026-07-28,2026-07-29,76,488.1,492.5289,336.6,0.9074,98.66,237.94,0.6414
ASIANTILES,2026-07-28,2026-07-29,657,57.3382,60.62,2156.14,5.7236,101.74,2054.4,5.4535
INFOBEAN,2026-07-28,2026-07-29,223,168.4769,169.1462,149.26,0.3973,99.45,49.81,0.1326
APCOTEXIND,2026-07-29,2026-07-30,31,683.65,668.25,-477.4,-2.2526,61.82,-539.22,-2.5443
ARTEMISMED,2026-07-29,2026-07-30,72,296.9,301.1042,302.7,1.416,63.01,239.69,1.1213
ASIANTILES,2026-07-29,2026-07-30,347,61.59,61.0,-204.73,-0.9579,62.47,-267.2,-1.2502
DEEPINDS,2026-07-29,2026-07-30,39,543.6769,571.4,1081.2,5.0992,63.45,1017.75,4.7999
ORISSAMINE,2026-07-29,2026-07-30,5,4045.4,4050.12,23.6,0.1167,60.33,-36.73,-0.1816
SHK,2026-07-29,2026-07-30,131,162.6454,168.1477,720.8,3.383,63.29,657.51,3.086
TIL,2026-07-29,2026-07-30,83,259.0,254.21,-397.57,-1.8494,62.53,-460.1,-2.1403
63MOONS,2026-07-30,2026-07-31,44,845.4318,909.3,2810.2,7.5545,101.44,2708.76,7.2818
63MOONS,2026-07-31,2026-08-03,27,920.9981,941.8,561.65,2.2586,71.52,490.13,1.971
ESAFSFB,2026-07-31,2026-08-03,594,41.95,41.9,-29.7,-0.1192,71.01,-100.71,-0.4042
THEJO,2026-07-31,2026-08-03,11,2100.0,2110.0455,110.5,0.4784,66.38,44.12,0.191
VERANDA,2026-07-31,2026-08-03,96,259.22,254.6828,-435.57,-1.7503,70.52,-506.09,-2.0337
DALMIASUG,2026-08-03,2026-08-04,52,407.5,422.2,764.4,3.6074,63.1,701.3,3.3096
DEEPINDS,2026-08-03,2026-08-04,33,646.15,649.1379,98.6,0.4624,62.68,35.92,0.1685
JINDWORLD,2026-08-03,2026-08-04,528,40.52,39.12,-739.2,-3.4551,61.96,-801.16,-3.7447
LUMAXIND,2026-08-03,2026-08-04,3,5745.3333,5710.5,-104.5,-0.6063,53.99,-158.49,-0.9195
SPORTKING,2026-08-03,2026-08-04,94,228.19,228.58,36.66,0.1709,62.88,-26.22,-0.1222
CAPILLARY,2026-08-04,2026-08-05,93,537.7328,557.0672,1798.1,3.5955,211.56,1586.54,3.1725
EPACKPEB,2026-08-04,2026-08-05,193,258.6,264.4503,1129.1,2.2623,209.66,919.44,1.8422
KKCL,2026-08-04,2026-08-05,93,534.4527,554.5048,1864.85,3.7519,210.0,1654.85,3.3294
MAHASTEEL,2026-08-04,2026-08-05,23,1084.0,1085.4217,32.7,0.1312,71.1,-38.4,-0.154
PAUSHAKLTD,2026-08-04,2026-08-05,67,735.75,726.5396,-617.1,-1.2518,206.58,-823.68,-1.6709
JGCHEM,2026-08-05,,137,546.2409,,,,,,
UNIPARTS,2026-08-05,,93,805.4892,,,,,,
